"geodatasource_country","geodatasource_region","amchart_country","amchart_id"
"AX","Jomala","AX",""
"AX","Mariehamn","AX",""
"AX","Saltvik","AX",""
"AX","Lemland","AX",""
"AX","Sund","AX",""
"AZ","Abseron","AZ","AZ-ABS"
"AZ","Agcabadi","AZ","AZ-AGC"
"AZ","Agdas","AZ","AZ-AGS"
"AZ","Agstafa","AZ","AZ-AGA"
"AZ","Agsu","AZ","AZ-AGU"
"AZ","Baki","AZ","AZ-BA"
"AZ","Balakan","AZ","AZ-BAL"
"AZ","Barda","AZ","AZ-BAR"
"AZ","Beylaqan","AZ","AZ-BEY"
"AZ","Calilabad","AZ","AZ-CAL"
"AZ","Ganca","AZ","AZ-GA"
"AZ","Goranboy","AZ","AZ-GOR"
"AZ","Goycay","AZ","AZ-GOY"
"AZ","Goygol","AZ","AZ-GYG"
"AZ","Haciqabul","AZ","AZ-HAC"
"AZ","Imisli","AZ","AZ-IMI"
"AZ","Kurdamir","AZ","AZ-KUR"
"AZ","Lankaran","AZ","AZ-LA"
"AZ","Masalli","AZ","AZ-MAS"
"AZ","Mingacevir","AZ","AZ-MI"
"AZ","Naftalan","AZ","AZ-NA"
"AZ","Naxcivan","AZ","AZ-NV"
"AZ","Neftcala","AZ","AZ-NEF"
"AZ","Oguz","AZ","AZ-OGU"
"AZ","Qabala","AZ","AZ-QAB"
"AZ","Qax","AZ","AZ-QAX"
"AZ","Qazax","AZ","AZ-QAZ"
"AZ","Qobustan","AZ","AZ-QOB"
"AZ","Quba","AZ","AZ-QBA"
"AZ","Qusar","AZ","AZ-QUS"
"AZ","Sabirabad","AZ","AZ-SAB"
"AZ","Saki","AZ","AZ-SAK"
"AZ","Salyan","AZ","AZ-SAL"
"AZ","Samaxi","AZ","AZ-SMI"
"AZ","Samkir","AZ","AZ-SKR"
"AZ","Samux","AZ","AZ-SMX"
"AZ","Sirvan","AZ","AZ-SR"
"AZ","Siyazan","AZ","AZ-SIY"
"AZ","Sumqayit","AZ","AZ-SM"
"AZ","Tovuz","AZ","AZ-TOV"
"AZ","Xacmaz","AZ","AZ-XAC"
"AZ","Xizi","AZ","AZ-XIZ"
"AZ","Yardimli","AZ","AZ-YAR"
"AZ","Yevlax","AZ","AZ-YEV"
"AZ","Zaqatala","AZ","AZ-ZAQ"
"AZ","Zardab","AZ","AZ-ZAR"
"AZ","Agdam","AZ","AZ-AGM"
"AZ","Astara","AZ","AZ-AST"
"AZ","Bilasuvar","AZ","AZ-BIL"
"AZ","Cabrayil","AZ","AZ-CAB"
"AZ","Daskasan","AZ","AZ-DAS"
"AZ","Fuzuli","AZ","AZ-FUZ"
"AZ","Gadabay","AZ","AZ-GAD"
"AZ","Ismayilli","AZ","AZ-ISM"
"AZ","Kalbacar","AZ","AZ-KAL"
"AZ","Lacin","AZ","AZ-LAC"
"AZ","Lerik","AZ","AZ-LER"
"AZ","Qubadli","AZ","AZ-QBI"
"AZ","Saatli","AZ","AZ-SAT"
"AZ","Susa","AZ","AZ-SUS"
"AZ","Tartar","AZ","AZ-TAR"
"AZ","Ucar","AZ","AZ-UCA"
"AZ","Xankandi","AZ","AZ-XCI"
"AZ","Xocali","AZ","AZ-XCI"
"AZ","Xocavand","AZ","AZ-XVD"
"AZ","Zangilan","AZ","AZ-ZAN"
"BA","Brcko distrikt","BA","BA-BRC"
"BA","Federacija Bosne i Hercegovine","BA","BA-BIH"
"BA","Republika Srpska","BA","BA-SRP"
"BB","Christ Church","BB","BB-01"
"BB","Saint Andrew","BB","BB-02"
"BB","Saint George","BB","BB-03"
"BB","Saint James","BB","BB-04"
"BB","Saint John","BB","BB-05"
"BB","Saint Joseph","BB","BB-06"
"BB","Saint Lucy","BB","BB-07"
"BB","Saint Michael","BB","BB-08"
"BB","Saint Peter","BB","BB-09"
"BB","Saint Philip","BB","BB-10"
"BB","Saint Thomas","BB","BB-11"
"BD","Barisal","BD","BD-A"
"BD","Chittagong","BD","BD-B"
"BD","Dhaka","BD","BD-C"
"BD","Khulna","BD","BD-D"
"BD","Rajshahi","BD","BD-E"
"BD","Rangpur","BD","BD-F"
"BD","Sylhet","BD","BD-G"
"BE","Antwerpen","BE","BE-VAN"
"BE","Brabant wallon","BE","BE-WBR"
"BE","Brussels Hoofdstedelijk Gewest","BE","BE-BRU"
"BE","Hainaut","BE","BE-WHT"
"BE","Liege","BE","BE-WLG"
"BE","Limburg","BE","BE-VLI"
"BE","Luxembourg","BE","BE-WLX"
"BE","Namur","BE","BE-WNA"
"BE","Oost-Vlaanderen","BE","BE-VOV"
"BE","Vlaams-Brabant","BE","BE-VBR"
"BE","West-Vlaanderen","BE","BE-VWV"
"BF","Boulgou","BF","BF-04"
"BF","Boulkiemde","BF","BF-06"
"BF","Comoe","BF","BF-02"
"BF","Houet","BF","BF-09"
"BF","Kadiogo","BF","BF-03"
"BF","Kourweogo","BF","BF-11"
"BF","Leraba","BF","BF-02"
"BF","Mouhoun","BF","BF-01"
"BF","Poni","BF","BF-13"
"BF","Sanmatenga","BF","BF-05"
"BF","Tuy","BF","BF-09"
"BF","Yatenga","BF","BF-10"
"BF","Zoundweogo","BF","BF-07"
"BF","Bale","BF","BF-01"
"BF","Bam","BF","BF-05"
"BF","Banwa","BF","BF-01"
"BF","Bazega","BF","BF-07"
"BF","Bougouriba","BF","BF-13"
"BF","Ganzourgou","BF","BF-11"
"BF","Gnagna","BF","BF-08"
"BF","Gourma","BF","BF-08"
"BF","Ioba","BF","BF-13"
"BF","Kenedougou","BF","BF-09"
"BF","Komondjari","BF","BF-08"
"BF","Kompienga","BF","BF-08"
"BF","Kossi","BF","BF-01"
"BF","Koulpelogo","BF","BF-04"
"BF","Kouritenga","BF","BF-04"
"BF","Loroum","BF","BF-10"
"BF","Nahouri","BF","BF-07"
"BF","Namentenga","BF","BF-05"
"BF","Nayala","BF","BF-01"
"BF","Noumbiel","BF","BF-13"
"BF","Oubritenga","BF","BF-11"
"BF","Oudalan","BF","BF-12"
"BF","Passore","BF","BF-10"
"BF","Sanguie","BF","BF-06"
"BF","Seno","BF","BF-12"
"BF","Sissili","BF","BF-06"
"BF","Soum","BF","BF-12"
"BF","Sourou","BF","BF-01"
"BF","Tapoa","BF","BF-08"
"BF","Yagha","BF","BF-12"
"BF","Ziro","BF","BF-06"
"BF","Zondoma","BF","BF-10"
"BG","Blagoevgrad","BG","BG-01"
"BG","Burgas","BG","BG-02"
"BG","Dobrich","BG","BG-08"
"BG","Gabrovo","BG","BG-07"
"BG","Haskovo","BG","BG-26"
"BG","Kardzhali","BG","BG-09"
"BG","Kyustendil","BG","BG-10"
"BG","Lovech","BG","BG-11"
"BG","Montana","BG","BG-12"
"BG","Pazardzhik","BG","BG-13"
"BG","Pernik","BG","BG-14"
"BG","Pleven","BG","BG-15"
"BG","Plovdiv","BG","BG-16"
"BG","Razgrad","BG","BG-17"
"BG","Ruse","BG","BG-18"
"BG","Shumen","BG","BG-27"
"BG","Silistra","BG","BG-19"
"BG","Sliven","BG","BG-20"
"BG","Smolyan","BG","BG-21"
"BG","Sofia","BG","BG-23"
"BG","Sofia (stolitsa)","BG","BG-22"
"BG","Stara Zagora","BG","BG-24"
"BG","Targovishte","BG","BG-25"
"BG","Varna","BG","BG-03"
"BG","Veliko Tarnovo","BG","BG-04"
"BG","Vidin","BG","BG-05"
"BG","Vratsa","BG","BG-06"
"BG","Yambol","BG","BG-28"
"BH","Al 'Asimah","BH","BH-13"
"BH","Al Janubiyah","BH","BH-14"
"BH","Al Muharraq","BH","BH-15"
"BH","Ash Shamaliyah","BH","BH-17"
"BI","Bubanza","BI","BI-BB"
"BI","Bujumbura Mairie","BI","BI-BM"
"BI","Cibitoke","BI","BI-CI"
"BI","Gitega","BI","BI-GI"
"BI","Kirundo","BI","BI-KI"
"BI","Muyinga","BI","BI-MY"
"BI","Mwaro","BI","BI-MW"
"BI","Ngozi","BI","BI-NG"
"BI","Rutana","BI","BI-RT"
"BI","Ruyigi","BI","BI-RY"
"BI","Bururi","BI","BI-BR"
"BI","Cankuzo","BI","BI-CA"
"BI","Karuzi","BI","BI-KR"
"BI","Kayanza","BI","BI-KY"
"BI","Makamba","BI","BI-MA"
"BI","Muramvya","BI","BI-MU"
"BJ","Alibori","BJ","BJ-AL"
"BJ","Atacora","BJ","BJ-AK"
"BJ","Atlantique","BJ","BJ-AQ"
"BJ","Borgou","BJ","BJ-BO"
"BJ","Collines","BJ","BJ-CO"
"BJ","Donga","BJ","BJ-DO"
"BJ","Littoral","BJ","BJ-LI"
"BJ","Mono","BJ","BJ-MO"
"BJ","Oueme","BJ","BJ-OU"
"BJ","Plateau","BJ","BJ-PL"
"BJ","Zou","BJ","BJ-ZO"
"BJ","Couffo","BJ","BJ-KO"
"BL","Saint Barthelemy","BL",""
"BM","Hamilton","BM","BM-HA"
"BM","Saint George","BM","BM-SC"
"BN","Belait","BN","BN-BE"
"BN","Brunei-Muara","BN","BN-BM"
"BN","Temburong","BN","BN-TE"
"BN","Tutong","BN","BN-TU"
"BO","Chuquisaca","BO","BO-H"
"BO","Cochabamba","BO","BO-C"
"BO","El Beni","BO","BO-B"
"BO","La Paz","BO","BO-L"
"BO","Oruro","BO","BO-O"
"BO","Pando","BO","BO-N"
"BO","Potosi","BO","BO-P"
"BO","Santa Cruz","BO","BO-S"
"BO","Tarija","BO","BO-T"
"BQ","Bonaire","BQ","BQ-BO"
"BQ","Saba","BQ","BQ-SA"
"BQ","Sint Eustatius","BQ","BQ-SE"
"BR","Acre","BR","BR-AC"
"BR","Alagoas","BR","BR-AL"
"BR","Amapa","BR","BR-AP"
"BR","Amazonas","BR","BR-AM"
"BR","Bahia","BR","BR-BA"
"BR","Ceara","BR","BR-CE"
"BR","Distrito Federal","BR","BR-DF"
"BR","Espirito Santo","BR","BR-ES"
"BR","Goias","BR","BR-GO"
"BR","Maranhao","BR","BR-MA"
"BR","Mato Grosso","BR","BR-MT"
"BR","Mato Grosso do Sul","BR","BR-MS"
"BR","Minas Gerais","BR","BR-MG"
"BR","Para","BR","BR-PA"
"BR","Paraiba","BR","BR-PB"
"BR","Parana","BR","BR-PR"
"BR","Pernambuco","BR","BR-PE"
"BR","Piaui","BR","BR-PI"
"BR","Rio Grande do Norte","BR","BR-RN"
"BR","Rio Grande do Sul","BR","BR-RS"
"BR","Rio de Janeiro","BR","BR-RJ"
"BR","Rondonia","BR","BR-RO"
"BR","Roraima","BR","BR-RR"
"BR","Santa Catarina","BR","BR-SC"
"BR","Sao Paulo","BR","BR-SP"
"BR","Sergipe","BR","BR-SE"
"BR","Tocantins","BR","BR-TO"
"BS","Central Andros","BS","BS-CS"
"BS","City of Freeport","BS","BS-FP"
"BS","East Grand Bahama","BS","BS-EG"
"BS","Harbour Island","BS","BS-HI"
"BS","Hope Town","BS","BS-HT"
"BS","Long Island","BS","BS-LI"
"BS","New Providence","BS","BS-NP"
"BS","South Eleuthera","BS","BS-SE"
"BT","Bumthang","BT","BT-33"
"BT","Chhukha","BT","BT-12"
"BT","Gasa","BT","BT-GA"
"BT","Lhuentse","BT","BT-44"
"BT","Monggar","BT","BT-42"
"BT","Paro","BT","BT-11"
"BT","Pemagatshel","BT","BT-43"
"BT","Punakha","BT","BT-23"
"BT","Samdrup Jongkhar","BT","BT-45"
"BT","Samtse","BT","BT-14"
"BT","Thimphu","BT","BT-15"
"BT","Trashi Yangtse","BT","BT-TY"
"BT","Trashigang","BT","BT-41"
"BT","Trongsa","BT","BT-32"
"BT","Tsirang","BT","BT-21"
"BT","Wangdue Phodrang","BT","BT-24"
"BT","Dagana","BT","BT-22"
"BT","Haa","BT","BT-13"
"BT","Zhemgang","BT","BT-34"
"BW","Central","BW","BW-CE"
"BW","Kgatleng","BW","BW-KL"
"BW","Kweneng","BW","BW-KW"
"BW","North East","BW","BW-NE"
"BW","North West","BW","BW-NW"
"BW","South East","BW","BW-SE"
"BW","Ghanzi","BW","BW-GH"
"BW","Kgalagadi","BW","BW-KG"
"BW","Southern","BW","BW-SO"
"BY","Brestskaya voblasts'","BY","BY-BR"
"BY","Homyel'skaya voblasts'","BY","BY-HO"
"BY","Horad Minsk","BY","BY-HM"
"BY","Hrodzenskaya voblasts'","BY","BY-HR"
"BY","Mahilyowskaya voblasts'","BY","BY-MA"
"BY","Minskaya voblasts'","BY","BY-MI"
"BY","Vitsyebskaya voblasts'","BY","BY-VI"
"BZ","Belize","BZ","BZ-BZ"
"BZ","Cayo","BZ","BZ-CY"
"BZ","Corozal","BZ","BZ-CZL"
"BZ","Orange Walk","BZ","BZ-OW"
"BZ","Stann Creek","BZ","BZ-SC"
"BZ","Toledo","BZ","BZ-TOL"
"CA","Alberta","CA","CA-AB"
"CA","British Columbia","CA","CA-BC"
"CA","Manitoba","CA","CA-MB"
"CA","New Brunswick","CA","CA-NB"
"CA","Newfoundland and Labrador","CA","CA-NL"
"CA","Northwest Territories","CA","CA-NT"
"CA","Nova Scotia","CA","CA-NS"
"CA","Nunavut","CA","CA-NU"
"CA","Ontario","CA","CA-ON"
"CA","Prince Edward Island","CA","CA-PE"
"CA","Quebec","CA","CA-QC"
"CA","Saskatchewan","CA","CA-SK"
"CA","Yukon","CA","CA-YT"
"CC","Cocos (Keeling) Islands","CC","CC"
"CD","Equateur","CD","CD-ET"
"CD","Haut-Katanga","CD","CD-HK"
"CD","Haut-Uele","CD","CD-HU"
"CD","Ituri","CD","CD-IT"
"CD","Kasai Central","CD","CD-LL"
"CD","Kasai Oriental","CD","CD-KO"
"CD","Kinshasa","CD","CD-KN"
"CD","Kongo Central","CD","CD-BC"
"CD","Kwilu","CD","CD-KU"
"CD","Lualaba","CD","CD-LB"
"CD","Maniema","CD","CD-MA"
"CD","Nord-Kivu","CD","CD-NK"
"CD","Nord-Ubangi","CD","CD-NU"
"CD","Sankuru","CD","CD-SN"
"CD","Sud-Kivu","CD","CD-SK"
"CD","Sud-Ubangi","CD","CD-SU"
"CD","Tanganyika","CD","CD-TG"
"CD","Tshopo","CD","CD-TO"
"CD","Tshuapa","CD","CD-TP"
"CD","Bas-Uele","CD","CD-BU"
"CD","Haut-Lomami","CD","CD-HL"
"CD","Kasai","CD","CD-KS"
"CD","Kwango","CD","CD-KG"
"CD","Lomami","CD","CD-LM"
"CD","Mai-Ndombe","CD","CD-MN"
"CD","Mongala","CD","CD-MO"
"CF","Bangui","CF","CF-BGF"
"CF","Haute-Kotto","CF","CF-HK"
"CF","Nana-Mambere","CF","CF-NM"
"CF","Ouham","CF","CF-AC"
"CF","Ouham-Pende","CF","CF-OP"
"CF","Bamingui-Bangoran","CF","CF-BB"
"CF","Basse-Kotto","CF","CF-BK"
"CF","Gribingui","CF","CF-KB"
"CF","Haut-Mbomou","CF","CF-HM"
"CF","Kemo-Gribingui","CF","CF-KG"
"CF","Lobaye","CF","CF-LB"
"CF","Mambere-Kadei","CF","CF-HS"
"CF","Mbomou","CF","CF-MB"
"CF","Ombella-Mpoko","CF","CF-MP"
"CF","Ouaka","CF","CF-UK"
"CF","Sangha","CF","CF-SE"
"CF","Vakaga","CF","CF-VK"
"CG","Brazzaville","CG","CG-BZV"
"CG","Cuvette","CG","CG-8"
"CG","Cuvette-Ouest","CG","CG-15"
"CG","Pointe-Noire","CG","CG-16"
"CG","Sangha","CG","CG-13"
"CG","Bouenza","CG","CG-11"
"CG","Lekoumou","CG","CG-2"
"CG","Likouala","CG","CG-7"
"CG","Niari","CG","CG-9"
"CG","Plateaux","CG","CG-14"
"CG","Pool","CG","CG-12"
"CH","Aargau","CH","CH-AG"
"CH","Appenzell Ausserrhoden","CH","CH-AR"
"CH","Appenzell Innerrhoden","CH","CH-AI"
"CH","Basel-Landschaft","CH","CH-BL"
"CH","Basel-Stadt","CH","CH-BS"
"CH","Bern","CH","CH-BE"
"CH","Fribourg","CH","CH-FR"
"CH","Geneve","CH","CH-GE"
"CH","Glarus","CH","CH-GL"
"CH","Graubunden","CH","CH-GR"
"CH","Jura","CH","CH-JU"
"CH","Luzern","CH","CH-LU"
"CH","Neuchatel","CH","CH-NE"
"CH","Nidwalden","CH","CH-NW"
"CH","Obwalden","CH","CH-OW"
"CH","Sankt Gallen","CH","CH-SG"
"CH","Schaffhausen","CH","CH-SH"
"CH","Schwyz","CH","CH-SZ"
"CH","Solothurn","CH","CH-SO"
"CH","Thurgau","CH","CH-TG"
"CH","Ticino","CH","CH-TI"
"CH","Uri","CH","CH-UR"
"CH","Valais","CH","CH-VS"
"CH","Vaud","CH","CH-VD"
"CH","Zug","CH","CH-ZG"
"CH","Zurich","CH","CH-ZH"
"CI","Abidjan","CI","CI-LG"
"CI","Bas-Sassandra","CI","CI-BS"
"CI","Comoe","CI","CI-SC"
"CI","Denguele","CI","CI-DE"
"CI","Goh-Djiboua","CI","CI-SB"
"CI","Lacs","CI","CI-LC"
"CI","Lagunes","CI","CI-LG"
"CI","Montagnes","CI","CI-MV"
"CI","Sassandra-Marahoue","CI","CI-MR"
"CI","Savanes","CI","CI-SV"
"CI","Vallee du Bandama","CI","CI-VB"
"CI","Woroba","CI","CI-WR"
"CI","Yamoussoukro","CI","CI-LC"
"CI","Zanzan","CI","CI-ZA"
"CI","Comoe","CI","CI-MC"
"CI","Goh-Djiboua","CI","CI-FR"
"CI","Montagnes","CI","CI-DH"
"CI","Sassandra-Marahoue","CI","CI-HT"
"CK","Cook Islands","CK","CK"
"CL","Aisen del General Carlos Ibanez del Campo","CL","CL-AI"
"CL","Antofagasta","CL","CL-AN"
"CL","Arica y Parinacota","CL","CL-AP"
"CL","Atacama","CL","CL-AT"
"CL","Biobio","CL","CL-BI"
"CL","Coquimbo","CL","CL-CO"
"CL","La Araucania","CL","CL-AR"
"CL","Libertador General Bernardo O'Higgins","CL","CL-LI"
"CL","Los Lagos","CL","CL-LL"
"CL","Los Rios","CL","CL-LR"
"CL","Magallanes","CL","CL-MA"
"CL","Maule","CL","CL-ML"
"CL","Region Metropolitana de Santiago","CL","CL-RM"
"CL","Tarapaca","CL","CL-TA"
"CL","Valparaiso","CL","CL-VS"
"CM","Adamaoua","CM","CM-AD"
"CM","Centre","CM","CM-CE"
"CM","Est","CM","CM-ES"
"CM","Extreme-Nord","CM","CM-EN"
"CM","Littoral","CM","CM-LT"
"CM","Nord","CM","CM-NO"
"CM","Nord-Ouest","CM","CM-NW"
"CM","Ouest","CM","CM-OU"
"CM","Sud","CM","CM-SU"
"CM","Sud-Ouest","CM","CM-SW"
"CN","Anhui","CN","CN-34"
"CN","Beijing","CN","CN-11"
"CN","Chongqing","CN","CN-50"
"CN","Fujian","CN","CN-35"
"CN","Gansu","CN","CN-62"
"CN","Guangdong","CN","CN-44"
"CN","Guangxi","CN","CN-45"
"CN","Guizhou","CN","CN-52"
"CN","Hainan","CN","CN-46"
"CN","Hebei","CN","CN-13"
"CN","Heilongjiang","CN","CN-23"
"CN","Henan","CN","CN-41"
"CN","Hubei","CN","CN-42"
"CN","Hunan","CN","CN-43"
"CN","Jiangsu","CN","CN-32"
"CN","Jiangxi","CN","CN-36"
"CN","Jilin","CN","CN-22"
"CN","Liaoning","CN","CN-21"
"CN","Nei Mongol","CN","CN-15"
"CN","Ningxia","CN","CN-64"
"CN","Qinghai","CN","CN-63"
"CN","Shaanxi","CN","CN-61"
"CN","Shandong","CN","CN-37"
"CN","Shanghai","CN","CN-31"
"CN","Shanxi","CN","CN-14"
"CN","Sichuan","CN","CN-51"
"CN","Tianjin","CN","CN-12"
"CN","Xinjiang","CN","CN-65"
"CN","Xizang","CN","CN-54"
"CN","Yunnan","CN","CN-53"
"CN","Zhejiang","CN","CN-33"
"CO","Amazonas","CO","CO-AMA"
"CO","Antioquia","CO","CO-ANT"
"CO","Arauca","CO","CO-ARA"
"CO","Atlantico","CO","CO-ATL"
"CO","Bolivar","CO","CO-BOL"
"CO","Boyaca","CO","CO-BOY"
"CO","Caldas","CO","CO-CAL"
"CO","Caqueta","CO","CO-CAQ"
"CO","Casanare","CO","CO-CAS"
"CO","Cauca","CO","CO-CAU"
"CO","Cesar","CO","CO-CES"
"CO","Choco","CO","CO-CHO"
"CO","Cordoba","CO","CO-COR"
"CO","Cundinamarca","CO","CO-CUN"
"CO","Distrito Capital de Bogota","CO","CO-DC"
"CO","Guainia","CO","CO-GUA"
"CO","Guaviare","CO","CO-GUV"
"CO","Huila","CO","CO-HUI"
"CO","La Guajira","CO","CO-LAG"
"CO","Magdalena","CO","CO-MAG"
"CO","Meta","CO","CO-MET"
"CO","Narino","CO","CO-NAR"
"CO","Norte de Santander","CO","CO-NSA"
"CO","Putumayo","CO","CO-PUT"
"CO","Quindio","CO","CO-QUI"
"CO","Risaralda","CO","CO-RIS"
"CO","San Andres, Providencia y Santa Catalina","CO","CO-SAP"
"CO","Santander","CO","CO-SAN"
"CO","Sucre","CO","CO-SUC"
"CO","Tolima","CO","CO-TOL"
"CO","Valle del Cauca","CO","CO-VAC"
"CO","Vichada","CO","CO-VID"
"CO","Vaupes","CO","CO-VAU"
"CR","Alajuela","CR","CR-A"
"CR","Cartago","CR","CR-C"
"CR","Guanacaste","CR","CR-G"
"CR","Heredia","CR","CR-H"
"CR","Limon","CR","CR-L"
"CR","Puntarenas","CR","CR-P"
"CR","San Jose","CR","CR-SJ"
"CU","Artemisa","CU","CU-15"
"CU","Camaguey","CU","CU-09"
"CU","Ciego de Avila","CU","CU-08"
"CU","Cienfuegos","CU","CU-06"
"CU","Granma","CU","CU-12"
"CU","Guantanamo","CU","CU-14"
"CU","Holguin","CU","CU-11"
"CU","La Habana","CU","CU-03"
"CU","Las Tunas","CU","CU-10"
"CU","Matanzas","CU","CU-04"
"CU","Mayabeque","CU","CU-16"
"CU","Pinar del Rio","CU","CU-01"
"CU","Sancti Spiritus","CU","CU-07"
"CU","Santiago de Cuba","CU","CU-13"
"CU","Villa Clara","CU","CU-05"
"CU","Isla de la Juventud","CU","CU-99"
"CV","Boa Vista","CV","CV-BV"
